Job Title,Company,Minimum Qualification,Skills Required,Location,Years of Experience,Date Posted,Department,Summary
Quality Assurance at Tenakata,Tenakata,Qualifications,Strong analytical skills to assess data and identify discrepancies..,,"2 years experience in auditing, compliance, quality control, preferably in the financial services industry..",,Other," Quality Assurance Officer will be responsible for Ensuring that all necessary paperwork and records are complete, accurate, and compliant with relevant standards . Will work closely with different departments such as finance, operations and credit to ensure all activities meet required standards ."
Vacancies at Equity Bank Kenya,Equity Bank Kenya,Qualifications,"Strong analytical skills, with experience in leveraging data analytics to drive lending product insights and performance management.",,"Offering technical support to address any issues or questions customers may have during the onboarding process, ensuring a smooth experience.",,Other," The primary purpose is to collect, analyse, and interpret digital data and provide actionable insights . This role supports the organization in improving its digital presence, customer engagement, marketing strategies, and overall performance ."
Inventory Manager at M-KOPA Solar,M-KOPA Solar,,"We are looking for someone with a Bachelor's degree in supply chain management, Business Administration, or related field (or equivalent experience). You should have effective leadership and team management abilities with experience in inventory management and overall supply chain processes. Excellent MS Excel skills are essential, along with strong data analysis capabilities and experience tracking KPIs. Excellent communication and stakeholder management skills are crucial, as is demonstrated ability to work cross-functionally.",,"We are looking for someone with a Bachelor's degree in supply chain management, Business Administration, or related field (or equivalent experience). You should have effective leadership and team management abilities with experience in inventory management and overall supply chain processes. Excellent MS Excel skills are essential, along with strong data analysis capabilities and experience tracking KPIs. Excellent communication and stakeholder management skills are crucial, as is demonstrated ability to work cross-functionally.",,Other," Mobility Inventory Manager will be responsible for overseeing daily inventory operations . You will be the strategic leader who collaborates closely with Retail, Sales, Product Managers to support overall inventory goals and improve operational efficiency ."
Technical Adviser (Climate Resilient Agri-Business Model) at Food and Agriculture Organization,Food and Agriculture Organization,,Technical/Functional Skills,"Work experience in more than one location or area of work, particularly in field positions.","Seven years of relevant experience in technical cooperation related activities, policy advice and analysis relating to food and nutrition security, agriculture and rural development, monitoring and evaluation of policies and programmes.",,Other," Coordinates technical cooperation activities and programme-related activities . Supervises preparation of various written outputs, e.g. background papers, analyses, substantial sections of reports and studies . Contributes to consultative and other meetings, conferences ."
Reproductive Health Officer at International Rescue Committee,International Rescue Committee,,"Work with clinical services team to determine training needs for SRHR service providers and community maternal and newborn health requirements for the targeted population through meetings, skills assessment sessions and /or administering surveys.",,"Foster inter-program linkages (clinical services, community health program and SRHR-HIV), exchange of information and experiences and contribute to an integrated Sexual Reproductive Health & Rights Program with support from Program Managers.",,Healthcare, Work with clinical services team to determine training needs for SRHR service providers and community maternal and newborn health requirements . Ensure high risk clinics are institutionalized and follow-up of mothers at risk is in line with ‘healthy mothers design sprint’
Communications Manager at CLASP,CLASP,Qualifications,"The successful candidate will have expertise delivering impactful communications campaigns and innovative content for global audiences and understand how communications further CLASP’s mission and theory of change. We are seeking an agile, creative communications professional with well-honed listening and interpersonal skills, who is skilled at distilling complex information into clear messages and can adapt to evolving contexts and priorities.",,"web, print publications, briefing papers, digital media, and social media all a plus; experience writing funding proposals ideal.",,Other," The Communications Manager will be responsible for designing, implementing and measuring communications for these portfolios in India . The successful candidate will have expertise delivering impactful communications campaigns and innovative content for global audiences ."
Job Openings at Practical Action Kenya,Practical Action Kenya,,Strong technical skills including use of PowerBI or Tableau.,,"Practical Action believes that it is unacceptable for anyone to experience exploitation or abuse in any form, anywhere. All staff members undergo mandatory Safeguarding training and are expected to always commit/adhere to our Safeguarding Policy whilst working for or on behalf of Practical Action.",,Other, Contribute to the development process of the strategic business plan (SBP) Provide data that supports routine quarterly and annual reporting of the SBP including reporting on the global indicators and show progress against targets .
Sales Development Professional at CMA CGM,CMA CGM,,,,,,Marketing, Main tasks and Responsibility: Support the Reefer Sales Manager with day-to-day customer related matters . Support the reefer manager to formulate commercial strategies which will see CMA CGM reefer Market Share grows within the cluster .
Social Worker/Counselor (Mental Health & Ncd Support) at Matibabu Foundation College of Health Sciences,Matibabu Foundation college of Health Sciences,-,"Excellent interpersonal, communication, and problem-solving skills",,"Training or experience in mental health, trauma, or NCD care required",,Healthcare," The Social Worker/Counselor will provide comprehensive psychosocial support, mental health counseling, and social care linkages for patients, students, and community members . This role is key to Matibabu Foundation’s holistic health model integrating clinical care, emotional resilience and social reintegration ."
Corporate Finance Director - (Fundraising) at Degas,Degas,,Strong leadership skills with the ability to build and develop a high-performing Finance team.,Develop comprehensive business and financial strategies in accordance with Degas’ long-term goals and guide decision-making on prioritization and resource allocation.,5+ years of experience in senior finance and investment roles.,,IT," The Corporate Finance Director / Manager is a critical leadership role driving Degas' financial strategy . This role involves spearheading equity and debt fundraising initiatives, both domestically and internationally, including pitching, financial modeling, due diligence, term negotiations, and closing ."
Accounts Executive at Morsan HR Consulting,Morsan HR Consulting,,"Are you a detail-oriented and client-focused professional with strong interpersonal and analytical skills? We are looking for an enthusiastic Accounts Executive to join our team. Reporting to the Senior Account Manager, this role will be pivotal in managing client relationships, understanding their needs, and ensuring successful service delivery. The ideal candidate should be able to work collaboratively across departments and be proactive in identifying opportunities to add value to client engagements.",,"2+ years’ experience in account management, client relations, or similar roles.",,Human Resources," The ideal candidate should be able to work collaboratively across departments and be proactive in identifying opportunities to add value to client engagements . The role will be pivotal in managing client relationships, understanding their needs and ensuring successful service delivery ."
Careers at Capacity Spring Africa,Capacity Spring Africa,,Good patient handling and communication skills,,Minimum of 1-2 years of relevant working experience (experience in a hospital/rehab center is an added advantage),,Other, Bachelor's degree or Diploma in Physiotherapy from a recognized institution Must be registered and licensed with the Physi Therapy Council of Kenya (PCK) Minimum of 1-2 years of relevant working experience .
Regional Manager: Program Delivery & Training Bilingual (EN/FR) at Teaching at the Right Level Africa,Teaching at the Right Level Africa,,Conduct skills assessment of regional PD&T team to identify learning gaps and provide a structured professional development plan.,,Develop deep knowledge and experience of the TaRL approach. (25%),,IT, Regional Manager PD&T Bilingual (EN/FR) at TaRL Africa plays an integral role in supporting the management and delivery of the Teaching at the Right Level (TaRL) approach .
LPG Regional Sales Manager at Sun King (Formerly Greenlight Planet),Sun King (Formerly Greenlight Planet),,Demonstrate good communication and people relations skills to be able to build and guide large EO teams.,,Are experienced with selling clean cooking products,,Marketing, The LPG Sales Manager will steer sales activities and collections in the area they are assigned for the direct distribution LPG sold on Pay-As-You-Basis . The role is responsible for generating sales and ensuring customers are making repayments .
Vacancies at PKF firms,PKF firms,"Qualifications, Experience and Skills","Qualifications, Experience and Skills",,PKF Taxation Services Limited (Mombasa Office) seeks to recruit an experienced and highly motivated individual to fill the position of Senior Tax Associate. The job holder will report to the Tax Manager and will be responsible for carrying out activities in the Tax Department as directed by the tax manager.,,Other, The job holder will report to the Tax Manager and will be responsible for carrying out activities in the Tax Department as directed by the tax manager . Main Duties and Responsibilities are outlined as follows: Preparing and filing of tax returns for review .
House Keeper & Waiter at Gap Recruitment Services Limited,Gap Recruitment Services Limited,,"Our client is seeking a professional and discreet Housekeeper & Waiter to maintain exceptional cleanliness and organization throughout the residence while also assisting with service during meals and formal gatherings. The ideal candidate must demonstrate excellent housekeeping skills, high personal integrity, and the ability to serve with grace and professionalism.",Organize storage areas and maintain household items in proper condition and location.,,,IT," The ideal candidate must demonstrate excellent housekeeping skills, high personal integrity, and the ability to serve with grace and professionalism . He must maintain exceptional cleanliness and organization throughout the residence ."
"Senior Manager, Maternal, Child Health and Nutrition - Africa at Childrens Investment Fund Foundation (CIFF)",Childrens Investment Fund Foundation (CIFF),,"Stay abreast of developments in MCH+N and allied sectors within the realm of international development, establishing robust networks and channels for gathering pertinent information to deepen professional knowledge, skills, and opportunities for both CIFF and our grantees.",,Skills & Experience,,Finance, Role’s responsibilities include Strategy & planning and planning . Includes identifying partnership and co-creation opportunities to propel MCH+N initiatives forward .
"Head, Business Legal Solutions at HR Fleek",HR Fleek,,Excellent analytical and problem-solving skills.,,,,Human Resources, Bellmac Consulting LLP is a leading full-service firm that provides a wide range of specialist professional corporate advisory services to a diverse range of clients in Kenya and the wider East and Central Africa region .
Business Development Manager at Dahua Technology,Dahua Technology,,"Should have Strong selling skills, ability to listen and tailor make presentations to meet customer needs and also to manage the team work.",,Minimum 3 years working experience in Security & CCTV market.,,Other," Job Duties: Manage and cultivate relationship with key Account CCTV Customers (mainly SI, Big Installers and final clients) Management of local SI sales team."
Business Development Manager at Dahua Technology,Dahua Technology,,"Should have Strong selling skills, ability to listen and tailor make presentations to meet customer needs and also to manage the team work.",,Minimum 3 years working experience in Security & CCTV market.,,Other," Job Duties: Manage and cultivate relationship with key Account CCTV Customers (mainly SI, Big Installers and final clients) Management of local SI sales team."
Affiliate Marketer at Jibu,Jibu,Qualifications,Marketing execution skills,,,,Other, This is an Affiliate role located in either Kiambu/Ruaka/Lavington . The marketer can be a digital marketer or a physical marketer . The pay for this role will be purely commission based with each new customer obtained at KSh. 300 each .
Sales and Marketing Intern at Oracom Group,Oracom Group,Qualifications,"This is a full-time, on-site role for a Sales & Marketing Intern located in Kenya. The Sales & Marketing Intern will assist in various sales and marketing activities including developing marketing strategies, building customer relationships, supporting sales teams, and providing exceptional customer service. The intern will also participate in training sessions to enhance sales techniques and management skills.",,Experience or interest in Sales and Sales Management,,Marketing," Sales & Marketing Intern will assist in various sales and marketing activities . The intern will also participate in training sessions to enhance sales techniques and management skills . This is a full-time, on-site role for a Sales and Marketing Intern located in Kenya ."
Part-Time Lecturers at Pwani University,Pwani University,Academic Qualifications,,,,,Education, This is a University teaching/research position . Applicants must have an earned PhD or a Master's Degree or equivalent qualification in the specified area from an accredited and recognized University .
Hotel Accountant at Bollard Consulting Limited,Bollard Consulting Limited,Qualifications,Excellent analytical and problem-solving skills.,,Minimum of 3 years of accounting experience in the hospitality industry.,,Finance," Responsibilities: Maintaining accurate and up-to-date financial records, including daily transactions, invoices, and other financial documents . Financial Analysis: Analysing financial data to identify trends, potential issues, and opportunities for improvement as well as support decision-making and strategic planning ."
Sales Executive - Cleaning & Pest Control at Reeds Africa Consult,Reeds Africa Consult,,"Excellent communication, negotiation, and presentation skills.",,"Minimum 3 - 4 years’ experience in sales, preferably in facilities management, cleaning, security, or service industry.",,Marketing," To generate new business, build and maintain client relationships, and drive revenue growth by promoting and selling the company’s  services to target clients across commercial, residential, and industrial sectors ."
Shariah Sales Representative - Embu at Stima Sacco,Stima Sacco,Academic Qualifications.,"Knowledge, skills and attributes",,Experience,,Marketing, The job holder will be responsible for developing new business prospects and interacting with existing Members to increase sales of the Society’s products and services . He will report weekly & monthly sales report through the Sales Logs .
"Loader, Operations at Stratostaff",Stratostaff,"QUALIFICATION, EXPERIENCE & SKILLS","QUALIFICATION, EXPERIENCE & SKILLS",,"QUALIFICATION, EXPERIENCE & SKILLS",,Other," Following the offloading instructions given on shipments offloading from the truck, follow instructions given to the offload instructions . Adhere to all PPE requirements, health and safety SOPs of the working place ."
Shop Attendant at Q-Sourcing Servtec Group,Q-Sourcing Servtec Group,,,,,,Other, We are seeking a dedicated and customer-focused Shop Attendant to join our retail team . This entry-level position is ideal for someone who enjoys working with people and has strong attention to detail . The successful candidate will be responsible for providing excellent customer service while maintaining efficient stock control and shop operations .
Job Vacancies at Calltronix Contact & Training Centre,Calltronix Contact & Training Centre,Qualifications Requirements & Skills for Project Lead,"A project leader should have a background in business skills, management, budgeting, and analysis. You should be an excellent communicator and comfortable managing multiple tasks. You also need to be a team player and have a problem-solving attitude.","The project leads responsibilities will include developing detailed project plans, ensuring resource availability and allocation and delivering every project on time within budget and scope.",2-3 years of project management or related experience,,IT, Project Lead is the go-to person for everything involving a project’s organization and timeline . Your job will be to ensure that Calltronix & client projects are delivered on time and meet contractual expectations .
"Senior Partnerships Advisor, Africa at Pathfinder International",Pathfinder International,,Proven writing and speaking skills using English language,,"Bachelor’s degree in business management, communications, marketing or related field, or a combination of education and experience in partnership and business development within the SRHR and/or international NGO sector.",,Other," Work with the BD Director, Regional directors, and Country Directors to identify high priority partnerships and develop targets for the countries and region . Lead negotiations and finalize agreements (MOUs and contracts) that align with Pathfinder’s strategic objectives ."
Fresh Jobs at World Vision Kenya,World Vision Kenya,,,,"Serve as the technical owner and subject matter expert for Microsoft 365 platforms, with a focus on performance, integration, and user experience.",,Other," Key Responsibilities: Serve as the technical owner and subject matter expert for Microsoft 365 platforms . Lead the configuration, deployment, and optimization of services across Exchange Online, SharePoint, OneDrive, Teams, Power Platform and related compliance/security tools ."
Communications Officer at Africa Youth Trust,Africa Youth Trust,Qualifications & Skills,Qualifications & Skills,,"Minimum of 3 years’ professional experience in a communications role, preferably within the development or non-profit sector.",,Administration, AYT’s website will be updated regularly to ensure timely and relevant content . The position will be responsible for the company's social media presence .
Distribution Supervisor at Unga Holding,Unga Holding,,,Coordinate logistics for interplant transfer and stock allocation daily to ensure balance in stock availability for both UL plants,,,Other," Work closely with the sales team on customer requirements and coordinate the operation team on product availability . Review and approve customer orders, plan and accomplish delivery of customers’ orders effectively within set timelines ."
MEAL Specialist - Sustain Africa Programs - Office of Programs at International Fertilizer Development Center (IFDC),International Fertilizer Development Center (IFDC),,Build Sustain Africa and partner capacity by training others in MEL skills;,,Minimum of 5 years or more demonstrated progressive professional experience in MEL positions;,,IT," The Specialist will lead and provide technical expertise in designing, implementing, and managing the overall Sustain Africa MEAL system . This role includes responsibility for performance analytics, results reporting, and identifying strategies to leverage findings to enhance program performance and reporting ."
"Director, Government Enablement/ CDMUs at The Global Energy Alliance for People and Planet (GEAPP)",The Global Energy Alliance for People and Planet (GEAPP),,Strong credibility and communication skills in engaging senior government officials and development partners.,,"10+ years of post-graduate experience, with a strong track record in government advisory, institutional reform, or delivery-focused technical assistance in LMICs.",,Other, The Director - CDMUs will lead GEAPP’s work to operationalize and strengthen these units across Mission 300 countries . The role serves as the center of gravity for GEAPP's government enablement agenda within Mission 300 .
Maintenance Coordinator - Building and Construction at CURE International,CURE International,,,Assist in space planning and allocation to optimize facility use.,,,IT," The Maintenance Coordinator is responsible for ensuring the efficient operation, maintenance, and safety of the organization's facilities . The successful candidate will be coordinating daily facility activities, managing maintenance tasks, and supporting the Facilities Director ."
Finance Intern – Accounts Payable at d.light,d.light,Completed or currently pursuing CPA qualification,"We are seeking a detail-oriented and motivated Finance Intern to join our Accounts Payable team. This internship offers hands-on experience in financial operations and the opportunity to gain practical knowledge in accounts payable processes. The ideal candidate is eager to learn, has strong organizational skills, and has completed a degree in Finance, Accounting, or a related field.",,"We are seeking a detail-oriented and motivated Finance Intern to join our Accounts Payable team. This internship offers hands-on experience in financial operations and the opportunity to gain practical knowledge in accounts payable processes. The ideal candidate is eager to learn, has strong organizational skills, and has completed a degree in Finance, Accounting, or a related field.",,Finance," We are seeking a detail-oriented and motivated Finance Intern to join our Accounts Payable team . The ideal candidate is eager to learn, has strong organizational skills, and has completed a degree in Finance, Accounting, or a related field ."
Admissions and Marketing Coordinators at Hillcrest International Schools,Hillcrest International Schools,,Excellent verbal and written communication skills with a flair for storytelling,,Experience and Competencies required;,,Marketing," A degree or diploma in Marketing, Communications, Business, or a related field, or 2-3 years of experience in a marketing, admissions, customer service, or sales role ."
"Associate Director, Right-Fit Evidence at Innovations for Poverty Action (IPA)",Innovations for Poverty Action (IPA),Qualifications,,,Consulting professionals with international development experience who would be excited to apply their skills in an entrepreneurial and impact-focused environment.,,Other," As an Associate Director, you will be leading, at any moment, several engagements, some of which may be large and complex . You will likely work across multiple sectors, including education, technology, agriculture, and livelihoods . Specific responsibilities may include overseeing various types of external evidence, learning, and M&E-related workshops ."
Masaba Transcribers (Remote) at Sigma AI,Sigma AI,,Computer skills at user level.,,,,IT," We are looking for native Masaaba transcribers for a remote project . This is a flexible task which will be completed through an online application, available 24/7 ."
Software Net Engineer at TheJitu.com,TheJitu.com,Required Qualifications & Experience,Key competencies/skills,,Experience with C#,,IT," To be responsible for design, code, unit tests, integration, integration and bug fixing for relatively complex or large projects . Follow architectural guidelines and code standards within the company ."
"Advisor Sr., Livelihoods at Child Fund International",Child Fund International,,"Strong technical writing and proposal development skills, with the ability to produce well-structured models that showcase the organization's capacity to deliver impactful programs.",,Required Experience and Education,,Other," The Global Livelihoods Senior Technical Advisor works closely with the Director of Program and Product Design to ensure that grant proposals are well-crafted and aligned with ChildFund’s Results Framework, key sectoral and global practices, and evidence of global impact ."
Partner Operations Lead at Glovo,Glovo,,Strong organizational skills with the ability to handle multiple projects efficiently.,,"you will be responsible for optimizing key operations performance indicators such as partner preparation times, cancellations, courier waiting times, and customer ratings, amongst others.. Your role will be directly responsible for improving Partners’ experience across their whole journey, making them grow and improve user experience.",,Other," As a Partner Operations Lead, you will play a key role in the Glovo Partners team . You will be responsible for optimizing key operations performance indicators such as partner preparation times, cancellations, courier waiting times, and customer ratings ."
Project Manager at Tetra Pak,Tetra Pak,,Fluent communication skills in English is a must,,Degree in Engineering or Food Science or others degrees with proven technical Project Management experience,,Other," The role of Project Manager is to plan, execute, and finalize projects according to strict quality standards, deadlines and within budget while maintaining high levels of safety and customer satisfaction . This is a permanent position based Nairobi, Kenya and it foresees travelling 50% of the time ."
Careers at Vivo Energy,Vivo Energy,,"Job Knowledge, Skills & Experiences",,"Job Knowledge, Skills & Experiences",,Other," The ONFR brands includes LPG, Afrigas and Convenience retailing . The talent takes a lead in managing vendor partners and communication agencies, and all aspects of their projects ."
SME/Universal Banker- Embu & Nanyuki at Absa Bank Limited,Absa Bank Limited,Qualification,Knowledge and Skills,,"To provide excellent customer experience, deliver exceptional branch business growth and profitability. To observe compliance & control requirements, keeping high level of bank standards",,Other," Job Summary: To provide excellent customer experience, deliver exceptional branch business growth and profitability . To observe compliance & control requirements, keeping high level of bank standards ."
Motion Graphics Designer at Standard Group,Standard Group,,,,1+ year experience in broadcast/multimedia,,Other," We are seeking a talented and visionary Motion Graphics Designer to join our fast-paced media team . The role focuses on producing high-quality, engaging visuals especially for TV and Electronic content ."
Equipment Control Executive at Inchcape Kenya LTD,Inchcape Kenya LTD,,Good oral and written communication skills in English.,,Minimum of 3 years experience in a similar or related field.,,Other, Updating daily container movements in the local system and Principal system on daily basis . Updating loading and discharge movements per vessel / voyage in local Principal System . Attending joint surveys with clients on excessively damaged containers .
Job Vacancies at HF Group,HF Group,"Minimum Qualifications, Knowledge and Experience",Key Competencies and Skills,,"Minimum Qualifications, Knowledge and Experience",,Other," Business planning, growth and performance management are key responsibilities for the sales team . Telesales is responsible for customer growth and retention across all lines; deposits, lending, Cards, Agent banking and NFI ."
Quality Manager Kenya (Maternity Cover) at Reckitt Benckiser,Reckitt Benckiser,Strong auditing skills with extensive experience in conducting site audits and systems audits. Lead auditor qualification in ISO 9001 or ISO 13485 preferred.,Strong project management experiences with demonstrable problem-solving skills.,,The experience we're looking for,,Other," We're in search of a proactive Quality Manager to join the Reckitt team . Your expertise will drive activities from concept to execution, fostering an environment of continuous improvement ."
Branch Administrator at Sai Raj Limited,Sai Raj Limited,,,"Oversee SR VM branch operations including daily job allocations, staff performance, and workflow management.",The branch is an experience rather than a shop.,,IT," Oversee SR VM branch operations including daily job allocations, staff performance, and workflow management . Understand all our products and upsell more than what is on display branch ."
Sales Representatives at Brisk Marketing,Brisk Marketing,,Self-driven individuals with strong interpersonal skills,,,,Marketing," Are you energetic, persuasive, and ready to represent leading brands? Join our dynamic team and help drive sales across the region . We're looking for passionate communicators with a positive attitude ."
Website Manager/Marketing Specialist at Gosmart,Gosmart,,"Photography and basic photo editing skills (e.g., cropping, color correction, Canva/Lightroom basics)",,Experience with social media marketing tools and strategies,,Marketing, GOSMART is looking to hire a team of people to work in a digital e-commerce position . The team will handle the daily operations of the GoSmart website . The role includes managing product and managing social media .
Marketing Executive - Wellness at JardineHR Consultants,JardineHR Consultants,,Excellent written and verbal communication skills.,,"2+ years of experience in marketing, preferably in health, education, or wellness sectors.",,Marketing," Our client seeks to recruit a Marketing Executive who is passionate about creating awareness, building meaningful connections, and grow their professional reputation across various platforms ."
Sales and Marketing Manager at Isopharm Limited,Isopharm Limited,,,,At least 7 years experience in sales/marketing at a pharmaceuticals company in Kenya.,,Marketing, Isopharm Ltd seeks a sales and marketing manager with a good understanding of the pharmaceutical market in Kenya . The role involves creation of effective marketing strategies that assist the efforts of sales teams and generate additional leads .
Sustainability and CSR Officer at Platinum Credit Limited,Platinum Credit Limited,"Demonstrated knowledge of and/or additional qualifications related to Sustainability, Impact Management, and Measurement, or ESG are preferred.",,,,,IT," Requirements: Bachelor's degree in Environment, Sustainability, Business, Finance, or a relevant related field . Demonstrated knowledge of and/or additional qualifications related to Sustainable, Impact Management, and Measurement, or ESG are preferred ."
Job Openings at Old Mutual Kenya,Old Mutual Kenya,"QUALIFICATIONS, KNOWLEDGE & EXPERIENCE",SKILLS AND COMPETENCIES,,"QUALIFICATIONS, KNOWLEDGE & EXPERIENCE",,Other," KEY TASKS AND RESPONSIBILITIES include delivery of business plan targets, including Revenue, Persistency, and Business Mix . Must have leadership ability and Sales and Marketing skills . Must also have strong Communication skills and strong Negotiation skills ."
Programme Support Intern at United Nations Office on Drugs and Crime (UNODC),United Nations Office on Drugs and Crime (UNODC),Qualifications/special skills,Qualifications/special skills,,A proven ability to interact effectively with individuals from diverse cultural backgrounds and beliefs—this includes a willingness to understand and respect differing opinions and perspectives. Applicants to the UN Internship Programme are not required to have professional work. experience.,,Administration, The Deputy Regional Representative will be responsible for organising and coordinating events in the region . The role will be in charge of coordinating and coordinating the planning of events and workshops .
Software Development at UN-Habitat,UN-Habitat,Qualifications/special skills,Qualifications/special skills,,"Working Experience; Minimum 4 years of experience in full-stack software development is required, with proven ability to build and maintain scalable web applications, strong front-end skills using frameworks like React, Vue, or Angular forinteractive dashboards and experience with back-end technologies (e.g., Node.js, .NET Core, or Python/Django), API design, data visualization tools (e.g., D3.js, Chart.js, Plotly), and database management (e.g., PostgreSQL, MySQL, MongoDB) is required.",,IT, The consultant will be responsible for the development of the Fiscal Space Performance and Monitoring Dashboard . The dashboard is designed to track and visualize key fiscal health indicators across cities in Africa .
Branch Manager at Jacaranda Maternity,Jacaranda Maternity,,,"We are expanding to new locations and require an additional Branch Manager. Reporting to our COO, you will take on responsibility of overseeing the operations of the branch by managing resources and staff, growing the locations revenue, delivering quality customer experience and maintaining superior patient satisfaction.","We are expanding to new locations and require an additional Branch Manager. Reporting to our COO, you will take on responsibility of overseeing the operations of the branch by managing resources and staff, growing the locations revenue, delivering quality customer experience and maintaining superior patient satisfaction.",,Other," We are expanding to new locations and require an additional Branch Manager . Reporting to our COO, you will take on responsibility of overseeing the operations of the branch ."
P.E and Swimming Teacher at SABIS International School,SABIS International School,,Excellent communication skills,,1+ years of teaching experience,,Education, Marking exams related to the taught subject in accordance with the schedule and material provided by the department . Discussing disciplinary and student performance issues with the Academic Quality Controller (AQC) and Head of Department as needed .
Cluster Office Administrator - Reliever at Boma Projects,Boma Projects,Assist the Head Office procurement team during prequalification of service providers.,"Excellence interpersonal, oral and written communication and negotiation skills, including expert command of English grammar and AP style.",Responsible for allocation of vehicles to program teams for field travel and follow ups.,Minimum at least three (3) years in administration experience in a busy organization in Northern Kenya preferably Wajir.,,Administration, The Office Administrator is responsible for supporting the Administration and People Function within BOMA’s programmes and operations . The holder of the position is also in charge of all procurement matters within the Cluster Office .
Job Vacancies at Africa Management Solutions Limited (AMSOL),Africa Management Solutions Limited (AMSOL),Required Qualifications,"Maintain and allocate nursing teams considering competencies and skills, ensuring each individual staff delivers to expectations.",Allocation of roles and responsibilities,Liaise with other HODs to ensure patients and doctors have a good experience,,Other," Role Summary: To promote and maintain caring, highly professional standards of perioperative nursing ensuring safe and quality care to patients . The team leader is expected to supervise staff in all aspects of managing the unit and the resources while promoting job satisfaction for the theatre team ."
Data Scientist at ENGIE,ENGIE,,"Proficiency using machine learning frameworks like keras, pytorch, Tensorflow, sckit-learn, statistical tools (statistical tests, distribution, regression, maximum likelihood estimators, strong math skills (multivariate calculus, linear algebra), machine learning methods (k-Nearest Neighbours, Naive Bayes, SVm, Decision forests), Data visualization tools (matplotlib, d3.js, Tableau).",,,,IT, Data Mining (20%): Design and implement robust data mining models to support analytics and reporting requirements . Data collection procedures to include all relevant information for developing analytic systems .
Chief Executive Officer at ICT Authority,ICT Authority,,Certificate in computer application skills;,,,,IT, The Chief Executive Officer is responsible to the Board of Directors for the management and administration of all activities of the Authority . The CEO will provide strategic leadership and direction to the Authority in order to achieve ICT Authority’s mandate in line with its Strategic Plan and Government Policy .
Regional Team Leaders – Sacco Assurance - Retail Life at CIC Insurance,CIC Insurance,,"Conducting trainings on company products, processes, sales and soft skills to achieve results;",,Minimum 3 years’ relevant experience within the financial services industry,,IT," CIC Life is expanding its wings and seeks to recruit individuals for an exciting career opportunity . The opportunity shall be based in the following regions Nairobi, Nakuru, Eldoret, Kisumu, Kericho and Kakamega . The Team Leader will be responsible for selling and growing retail Life Assurance products ."
Careers at Gap Recruitment Services Limited,Gap Recruitment Services Limited,,Strong team management and coordination skills.,,Our client is a leading international menswear brand with over 18 years of experience in garment retail. They offer a wide range of wardrobe essentials from suits and blazers to shoes and accessories focused on quality and contemporary style. They are currently seeking a Fashion Retail Manager with proven experience in a similar role within the fashion or design retail sector to lead their team and ensure exceptional customer service and store performance.,,Other," Leading international menswear brand with over 18 years of experience in garment retail . Responsibilities: Oversee and manage daily store operations, ensuring smooth and efficient functioning . Motivate and inspire store staff to meet and exceed monthly sales targets .Handle customer complaints and resolve issues related to store operations ."
Business Development Executive at Moja EV Kenya,Moja EV Kenya,,"Exceptional customer service skills, including interpersonal",,Have more than 5 years of sales or marketing experience.,,Other, Employers must have more than 5 years of sales or marketing experience . Key responsibilities: Customer Reception and Consultation . Sales Negotiation and Promotion . Customer service skills including interpersonal communication and rapport building .
Job Opportunities at Kenyatta University,Kenyatta University,Qualifications and experience,,,Qualifications and experience,,Other, At least three (3) years of University teaching experience as a full-time Lecturer or in industry . At least 3 articles in refereed journals have been published .
HR Assistant at Verde Edge Consulting Ltd,Verde Edge Consulting Ltd,Qualifications,Poses good communication skills verbal & written with good customer service,,Minimum 2-year experience in a similar position.,,Administration," Job Description: Manage staff welfare & communication, discipline management, facilitate resolving conflicts and grievances. Ensure Labour Laws compliance in all HR operations and documentation. Ensure a positive working environment and culture ."
Junior Paid Media Manager at Welcome Tomorrow,Welcome Tomorrow,Are you a good fit for this role? Check the qualifications we’re looking for,"You've worked with cross-functional teams and know how to gather multiple skills (i.e. creatives, data) to launch integrated marketing campaigns",,"We are seeking a passionate and detail-oriented Junior Paid Media Manager to support campaign strategy and execution for a portfolio of multiple clients. You will be a key part of the Paid Media team, helping drive our customers' growth through data-driven campaign strategies that deliver tangible business results. This role is a fantastic opportunity to gain practical paid media experience while working on exciting clients with a world-class team.",,IT," We are seeking a passionate and detail-oriented Junior Paid Media Manager to support campaign strategy and execution for a portfolio of multiple clients . You will be a key part of the Paid Media team, helping drive our customers' growth ."
M-Pesa Africa Delivery Manager at Safaricom Kenya,Safaricom Kenya,Qualification & Experience,Excellent problem analysis and resolution skills to support work in reactive and proactive environments,,Qualification & Experience,,Other," The In-Market Delivery Lead will support the ARTs and Project teams to co-ordinate the demands and dependencies required from the local markets, across the local market value-chain ."
Securities & Derivatives Analyst at Citi,Citi,,,,3-6 years of relevant experience,,IT," Responsibilities include: Initiating or completing these manual tasks either Daily , Weekly and/or Monthly tasks . Frequent regulatory report submissions to the Central Bank Kenya (CBK), Kenya Revenue Authority (KRA) and the Credit Reference Bureau (CRB)  Uploading daily MTM prices for Bonds and TBs into the front Office trade booking application Edealer ."
