Job Title,Company,Description,Minimum Qualification,Skills Required,Location,Work Type,Years of Experience,Department
Latest Recruitments at CDL Human Resource,CDL Human Resource,"To extract data from call center systems, analyse it and generate  meaningful business information and reports that allow the business to  identify business needs and business solutions that are consistent with the Customer Experience goals and targets
Key Responsibilities
Identify the data that is required to deliver business information requirements in respect to customer experience.
Gather and analyse data, compiling analysis reports to support  management decision making
Use data modelling practices to analyse business data, macro data, industry trends and general macro-economic data
Assess impact of macro-economic trends in the telecommunication industry and on Telkom Kenya and prepare informative reports for management consumption
Analyse on-going operations and identify key areas where operational improvements can drive the financial performance of the business
Communicate and present results in formats that accurately reflect data
Investigate results achieved to ensure accuracy of data
Requirements
Qualifications- Academic and Professional
Bachelorâ€™s Degree in Business or related field
Experience
At least 2 years relevant experience in similar position
go to method of application Â»",Qualifications- Academic and Professional,,,Unclear,"To extract data from call center systems, analyse it and generate  meaningful business information and reports that allow the business to  identify business needs and business solutions that are consistent with the Customer Experience goals and targets",Human Resources
Cyber Security Incident Response Manager at Equity Bank Kenya,Equity Bank Kenya,"The Cyber Security Incident Response Manager (CSIRM) will manage the end-to-end Cyber Incident Response Lifecycle across the Group. The CSIRM will be part of driving the strategy, capabilities, and will also provide an efficient response and remediation to minimize the impact of the evolving cyber threats.
This role requires a strong understanding of cybersecurity forensics, Cyber risk, and the ability to make quick, effective decisions in fast-paced and complex environments.
Job Responsibilities/ Accountabilities:
Cyber Incident Response Planning and Preparation: The candidate will be required to be in charge of the process of maintaining and improving incident response capabilities and preventing incidents by ensuring that systems, networks, applications, and data handling processes are sufficiently secure, and employee awareness training is in place.  The CSIRM will ensure practice exercises (Table-top Exercises) for the CIRT (Cyber Incident Response Team) are conducted periodically, where various incident scenarios are presented to the Team in a practice session. 
Cyber Incident Identification: The CSIRM will facilitate the process of confirming, characterizing, classifying, categorizing, scoping, and prioritizing suspected incidents as per the Group Incident Response Policies and Procedures.
Cyber Incident Notification: The CSIRM will ensure alerting of CIRT members to the occurrence of an incident and communicating throughout the incident to the relevant stakeholders. 
Cyber Incident Containment: The CSIRM will proactively play a critical role in the containment of cyber incidents to ensure the minimization of financial and/or reputational loss, theft of information, or service disruption. The CSIRM ensures prompt communication briefs to the Group CISO on any Cyber Incident occurrence. The CSIRM will also coordinate communication with relevant stakeholders (external and Internal) as per the Bankâ€™s Communication policies if and when required.
Cyber Breach Eradication and Threat Elimination: The CSIRM will coordinate all aspects of threat eradication through thorough identification of all affected assets, elimination of artifacts of the incident (e.g., removal of malicious code, re-image infected systems), and mitigating the vulnerabilities or other conditions that were exploited. This will also ensure that Forensics
Artifacts are well-maintained and preserved as per the Bankâ€™s Digital Forensics Policies and Procedures.
Recovery: The CSIRM will coordinate and ensure restoration of services to a normal state of operation and the resumption of business activities quickly and securely as per the SLAs.
Post-incident Activities: The CSIRM will be tasked to assess the overall response effectiveness and identify opportunities for improvement through â€˜lessons learnedâ€™ or mitigation of exploited weaknesses. This will also include continuous incorporation of incidentsâ€™ learnings into the cyber fortification efforts and the response plan, as appropriate.
Other Duties may include assisting the Bankâ€™s Communication team with relevant information that will assist in reputational repair measures, if needed.
Qualifications
Key Critical Competencies
Business awareness
Threat and cybersecurity competencies
Strong analytical and problem-solving skills
Excellent planning skills
High personal standards and goal-oriented
Deep knowledge of the Bankâ€™s infrastructure, networks, and systems
Required Skill and Certifications
Bachelorâ€™s degree in information technology, Information Security/Assurance, Engineering or a similar area of study;
Hold at least one relevant industry certification (GCIH, GCED, CISSP, CISA, CISM, etc.)
Minimum 5 years of Security leadership, with experience running and managing incident playbooks.
Minimum 3 years of experience working in a SOC environment and working knowledge of all managed controls and services. (added advantage)
Relevant industry certifications or relevant technology vendor certifications
Personnel and resource management experience
Strong knowledge of Cyber Security forensics, project management, change management, technology implementation, and risk analysis strategy
Proficient at professional communication and documentation of processes and procedures",Qualifications,Strong analytical and problem-solving skills,,Unclear,"Minimum 5 years of Security leadership, with experience running and managing incident playbooks.",Information Technology
GIS Data Aanlyst at Zipline,Zipline,"What You'll Do  
Design and maintain analytics frameworks that connect geospatial and operational data to business outcomes. Uncover trends, develop KPIs, and support data-driven decision-making across sales, marketing, and government engagement efforts.
Collaborate with GIS engineers and operations teams to refine Ziplineâ€™s spatial data pipelines. Ensure accurate and validated flight routing and territory mapping using up-to-date satellite, drone, and local data sources.
Conduct spatial analyses to estimate travel time and distance to health facilities using road network data, elevation models, and service delivery catchments.
Support monitoring and evaluation (M&E) studies by integrating geospatial data with health, demographic, and operational datasets to inform impact assessments.
Access and analyze remote sensing data from platforms such as Google Earth Engine, Sentinel, or Landsat to support environmental, demographic, and infrastructure-related research.
Design and implement spatial regression models and geographically weighted analyses to explore spatial patterns in health outcomes and service accessibility.
Contribute to the design of sampling strategies for household surveys, including spatial enumeration and clustering techniques to ensure representativeness and feasibility in the field.
Develop models to identify optimal locations for new Zipline distribution centers based on geospatial, socioeconomic, epidemiological, and logistical factors.
Analyze disease outbreak patterns and model the geographical dissemination of infectious diseases to support response planning and proactive health interventions.
Create clear, reproducible spatial data pipelines and visualizations to support internal decision-making and external communications with stakeholders.
Collaborate closely with data scientists, impact evaluators, engineers, and policy teams to translate research questions into actionable geospatial analyses.
What you will bring
5+ years of hands-on experience in GIS and spatial analysis, preferably in a sales or customer success environment
Strong working knowledge of GIS Tools such as ArcGIS or QGIS
Strong proficiency in Generative AI tools and applications relevant to data analysis and visualization.
Advanced skills in data visualization using tools like Mode, Tableau, Power BI, or Matplotlib
Experience in writing SQL queries to extract, manipulate, and analyze large datasets from relational databases; ability to optimize SQL queries for performance improvements, create and maintain database schemas, and manage database security
Familiarity with geospatial risk modeling, transportation/logistics networks, or public health infrastructure in Sub-Saharan Africa.
Excellent problem-solving and analytical skills
Strong communication skills with the ability to present complex data in a clear, concise manner; ability to communicate clearly with both technical and non-technical audiences
Ability to work independently and manage multiple projects simultaneously
Inherent self-motivation, adaptability, and creativity",,"Advanced skills in data visualization using tools like Mode, Tableau, Power BI, or Matplotlib","Develop models to identify optimal locations for new Zipline distribution centers based on geospatial, socioeconomic, epidemiological, and logistical factors.",Unclear,"5+ years of hands-on experience in GIS and spatial analysis, preferably in a sales or customer success environment",Information Technology
Senior Devops Engineer at One Acre Fund,One Acre Fund,"Responsibilities
You will work with a team of about 5 engineers
Operate a dozen applications our farmers depend on, making up ~200 containers
Manage and automate our cloud infrastructure based on Kubernetes / Azure / Elasticsearch
Manage a set of tools to support a smooth development cycle from commit to deployment
Help shape our architecture decisions
Career Growth and Development
We have a strong culture of constant learning and we invest in developing our people. Youâ€™ll have weekly check-ins with your manager, access to mentorship and training programs, and regular feedback on your performance. We hold career reviews every six months, and set aside time to discuss your aspirations and career goals. Youâ€™ll have the opportunity to shape a growing organization and build a rewarding long-term career.
Qualifications
Across all roles, these are the general qualifications we look for. For this role specifically, you will have:
5+ years in software development and 3 years of DevOps and or system administration
High proficiency with Docker and Kubernetes
Knowledge of CI / build and release tools (Github Actions or ArgoCD)
Experience working with public Cloud platforms (Azure or AWS)
Scripting Skills (BASH preferred, powershell/CMD fine)
Basic knowledge of common application development frameworks (Experience with javascript, C#, Python, SQL or similar languages required)
Alerting and log aggregation via ELK Stack
Demonstrated knowledge in performance visibility tools",Qualifications,"Scripting Skills (BASH preferred, powershell/CMD fine)",,Unclear,Experience working with public Cloud platforms (Azure or AWS),Engineering
Anticipatory Action Program Officer at Kenya Red Cross Society,Kenya Red Cross Society,"Duties and Responsibilities 
Support GRC AA program coordination and development, amongst others with the SCALAA project (Scaling-up Multi-hazard AA in the greater Horn of Africa, including conflict-sensitive settings) implemented in a consortium with IGAD/ICPAC, WFP, FAO, IFRC, Danish Refugee Counsil (ECHO HIP) 
Support the SCALAA thematically and programmatically (AA support and project management incl PMER):â€¯serve as regional project focal point in consortium in support of the Regional Representative. Assure a proper activity coordination and planning with AH, RCCC, T64, Pilot Countries in support of the budget holder and country offices.  
Technical/scientific support to the Projects/offices/country/HNS teams, or enable scientific support, mainly in the field of Hydrometeorology. Scientific support on forecast, threshold and harmonization/coordination of activation mechanism.
Support NS EAP/AA Readiness.
Support EAP implementation support in the Africa region if requested. 
Work on integration of AA framework in the NDRM system and response planning of all national ministries.â€¯ 
Support capacity development and localization of AA (also with Local governments) 
Develop guidelines and AA frameworks where opportunities arise in RC and beyond.â€¯ 
AA learning processes, knowledge management and communication materials.
Carry out other programmatic task at the Regional Coordination and Liaison Office of GRC in Africa.     
Support peer to peer exchange and roster management of regional resources.
Desired Competencies 
University Degree in Law, Economics, Political Science, Climate Science, Hydrometeorology or related field (or combination of degree and relevant working experience).
At least 7 years working experience in a similar role in the international humanitarian/ NGO/Non-profit sector or Government in DRR, Climate Science, Hydromet science, Disaster Risk Financing and/or Anticipatory Action.  
At least 3 years of experience in project and/or program management.  
Previous experience working around Anticipatory Action and/or Early Warning is a must.
Red Cross Red Crescent experience will be an added value. 
Knowledge, skills and languages 
Abilities to coordinate programs in support to the existing program and country set-ups.  
Advanced skills in computer productivity applications (Word, Excel, PowerPoint and Outlook. 
Abide by and work in accordance with the Red Cross and Red Crescent principles. 
Fluency in English a requirement. Work proficiency in a regional language an asset.  
Fluency in relevant IT tools, including with Microsoft Office.",,"Knowledge, skills and languages",,Unclear,"University Degree in Law, Economics, Political Science, Climate Science, Hydrometeorology or related field (or combination of degree and relevant working experience).",Administration & Support
Principal Administrative Officer at United Nations Office at Nairobi (UNON),United Nations Office at Nairobi (UNON),"Responsibilities
Provision of Strategic Advisory Support: Assists the Director-General in the overall direction and management of the United Nations Office at Nairobi (UNON), and in coordinating functions within the Office of the Director-General.
 Management of the Office of the Director-General: Manages the operations of the Office of the Director-General by supervising outputs and organizing workflow and communications.
Reviews, prepares, and clears correspondence, official statements, and reports.
Manages the team of Special Assistant and other office staff as determined by the Director-General.
Liaison with Member States and Stakeholders: Maintains liaison with heads of missions and other high-ranking representatives of Member States, organizations, donors, and partners in the region on protocol and procedural matters.
Performs protocol and liaison functions with the host country authorities.
Represents the Director-General, as required, at UN meetings, during high-level official visits, and at conferences held in Nairobi.
Internal UN coordination: Assists the Director-General in coordinating among UNONâ€™s divisions and ensuring that decisions from the Senior Management Team meetings are implemented and followed up.
Supports the Director-General in coordinating with other UN entities based in Nairobi, including close cooperation with UN Secretariat entitiesâ€”particularly Senior Leadership at UNEP and UN-Habitatâ€”as well as at the inter-agency level with the Senior Management of the Agencies, Funds, and Programmes present in the country.
Represents and assists the Director-General, as required, in coordinating with UN Secretariat headquarters departments and offices across the UN Secretariat.
Coordinates monitoring, evaluation, reporting, and oversight functions for the United Nations Office at Nairobi.
Leads team members efforts to collect and analyze data and provide insight to identify trends or patterns for data-driven planning, decision-making, presentation and reporting. Ensure that all stakeholders can discover, access, integrate and utilize the data they need as appropriate.
Other duties: Undertakes other assignments as requested by the Director-General.
Education
Advanced university degree (Master's degree or equivalent) in public administration, management, social sciences, international relations or a related area is required.
A first-level university degree in combination with two additional years of qualifying experience may be accepted in lieu of the advanced university degree.
Successful completion of both degree and non-degree programs in data analytics, business analytics or data science programs is desirable.
Work Experience
A minimum of fifteen (15) years of experience in public administration and management in a large international organization such as the UN at the international level is required. A minimum of ten (10) years of experience in advising senior leadership on complex cooperation and coordination of inter-agency issues is required.
A minimum of ten (10) years of experience in negotiations with senior-level officials at the intergovernmental level is required.
A minimum of five (5) years of experience supervising complex and multifunctional teams is required. A proven track record of at least five (5) years in the coordination of service delivery at the inter-agency level is required.
A proven track record of at least ten (10) years in supporting senior staff in the implementation of complex plans of work/compacts is desirable. Experience in data analytics or related area is desirable.",,,,Unclear,A first-level university degree in combination with two additional years of qualifying experience may be accepted in lieu of the advanced university degree.,Information Technology
Job Recruitment at CDL Human Resource,CDL Human Resource,"The Human Rights Specialist will play a central role in advancing the companyâ€™s human rights strategy by supporting the development, implementation, and monitoring of action plans that promote respect for human rights in the workplace and surrounding communities. The role will also support stakeholder engagement, grievance mechanism operations, due diligence processes, training, and risk mitigation initiatives in line with local and international standards.
Key Responsibilities
Collaborate with internal and external stakeholders to develop and implement an action plan to address workplace and community-based human rights challenges.Support human rights due diligence processes, including the assessment, management, and monitoring of business impacts on human rights, security, and the environment.Review and implement DMKLâ€™s community engagement and consultation strategy, leveraging dialogue and consultation sessions to foster strong community relations.Support the operationalization of new grievance mechanisms for employees and surrounding communities, and integrate learnings into ongoing due diligence efforts.Present strategic initiativesâ€”either DMK-led or in collaboration with NGOsâ€”to the WD&HuRi Manager to mitigate or address social risks.
 Develop key performance indicators (KPIs) to track progress on human rights issues identified through Human Rights Impact Assessments (HRIA), audits, or grievance mechanisms.Build internal and external capacity by delivering training and raising awareness on key human rights topics.Lead monitoring and evaluation activities related to human rights initiatives and impact tracking.
Dimensions of the Job
Timely submission of required reports.Achievement of corporate human rights targets.Strengthened goodwill between the company, staff, and the community.
Departmental Interaction
The role involves collaboration with:
AdministrationLegalHuman ResourcesSecurityWelfare, Diversity and Human RightsAgricultureProduction
Decision-Making AuthorityMakes independent decisions related to daily responsibilities.Strategic and high-level decisions are made in consultation with the WD&HuRi Manager, Managing Director, and Corporate Office.
External Contacts
Human rights consultants, commissions, and vendorsNGOs, government agencies, community groups, and other relevant stakeholders
Tools & Systems Used
OracleMicrosoft Office Suite
Requirements
Required Skills and Competencies
Bachelorâ€™s degree in International Development, Sustainability, Agriculture, Law (LL.B), Sociology, Communication, or a relevant field.
Minimum 5 yearsâ€™ experience in business and human rights.
In-depth knowledge of local and international human rights laws and regulatory frameworks.
Familiarity with third-party certification standards related to human rights.
Experience working in a corporate environment with exposure to human rights practices.
Strong background in community engagement and relationship-building.
Excellent interpersonal and networking skills.
Highly solution- and impact-oriented with a proactive approach to problem-solving.
Strong attention to detail and ability to manage complex issues.
Eligible to work in Kenya.
Fluent in both Swahili and English.
go to method of application Â»",,Required Skills and Competencies,,Unclear,Minimum 5 yearsâ€™ experience in business and human rights.,Human Resources
Branch Manager at Africa Merchant Assurance Company Limited,Africa Merchant Assurance Company Limited,"Job Purpose
The purpose of this position is to oversee branch operations, drive business growth, manage recruitment and training, and enforce company policies.
Key responsibilities
Oversee the day-to-day operations of the branch, ensuring smooth business functions and operational efficiency.
Drive business development within the branch by identifying growth opportunities and implementing sales strategies.
Manage the recruitment of unit managers, brokers, agents, and the Direct Sales Force, ensuring proper allocation to unit managers.
Train Direct Sales Force and unit managers on sales techniques, professional demeanor, and customer engagement.
Supervise all branch staff, ensuring accountability, productivity, and alignment with company goals.
Serve as the final decision-maker in the branch, providing leadership and strategic direction.
Liaise with department heads on disciplinary matters, ensuring fair and compliant processes.
Oversee asset management within the branch, ensuring proper utilization and maintenance of company resources.
Facilitate the training and development of independent agents to enhance sales performance and compliance.
Enforce company policies within the branch, ensuring adherence to cash handling, customer service, and dress code standards.
Approve staff leave requests, ensuring business continuity and workforce planning.
Implement and oversee performance management processes, setting branch objectives and tracking progress against targets.
Develop and submit general branch reports to the Head of Business Development and provide advisory to inform strategic decisions.
Collaborate with other departments in the coordination of branch activities and mitigation of potential risks.
Any other responsibilities assigned to the jobholder by the supervisor from time to time.
Educational Requirements
Minimum of a Bachelorâ€™s Degree in Marketing/Insurance from a recognized university.
Member of Membership in either IIK, CII,CIM, MSK or KIM
Post graduate Diploma in Marketing is an added advantage
Experience
Minimum of five (5) yearsâ€™ relevant experience
Skills and Attributes
Excellent communication and interpersonal skills;
Ability to lead a team and promote process improvement;
Strong analytical and problem-solving skills;
Financial planning and strategy;
Industry awareness;
Ownership and commitment; and
Strong attention to detail and a passion for customer service excellence",,Skills and Attributes,"Manage the recruitment of unit managers, brokers, agents, and the Direct Sales Force, ensuring proper allocation to unit managers.",Unclear,Experience,Business
Vacancies at Morsan HR Consulting,Morsan HR Consulting,"Our client is seeking to recruit a professional and vibrant Receptionist to oversee front office operations and provide high-level administrative support. The ideal candidate will ensure a seamless visitor experience, maintain the reception areaâ€™s professional standards, and support various departments with clerical tasks. This role requires a polished communicator who is detail-oriented, well-organized, and capable of managing multiple priorities with professionalism and discretion.
Key Responsibilities:
Manage the front desk by receiving visitors, confirming appointments, issuing passes, and notifying relevant departments in a timely and professional manner
Operate and manage the switchboard system, ensuring accurate call screening, routing, and message-taking for internal teams and senior leadership
Monitor and coordinate all incoming and outgoing mail, couriers, and official documentation, maintaining tracking logs and delivery confirmation records
Maintain an orderly and professional reception area, including overseeing office cleanliness, guest amenities, and brand-aligned presentation standards
Maintain the office visitor register, ensure daily reporting of visitor logs, and support access control in collaboration with security personnel
Provide scheduling and logistical support for internal meetings, including venue booking, set-up coordination, and provision of refreshments or stationery
Support document management activities including scanning, photocopying, filing, and data entry for departments requiring administrative assistance
Coordinate procurement requests for reception-related supplies and ensure timely restocking of front desk and hospitality items
Receive and verify deliveries (stationery, supplies, packages) and liaise with administrative teams for proper distribution
Support HR and Admin departments in routine clerical tasks, travel bookings, interview scheduling, or onboarding logistics as delegated
Uphold confidentiality and exercise discretion when handling sensitive company documents, guest information, or internal correspondence
Qualifications and Requirements
Diploma or Degree in Business Administration or a related field
Minimum of 1â€“2 years of experience in a receptionist or front office administration role
Strong command of English and Kiswahili, with excellent written and verbal communication skills
Proficiency in Microsoft Office Suite (Word, Excel, Outlook) and basic office equipment operations
High level of personal grooming, professional etiquette, and customer service orientation
Proven ability to multitask, manage time effectively, and work with minimal supervision
Strong interpersonal skills with the ability to interact effectively across all levels of staff and visitors
go to method of application Â»",Qualifications and Requirements,"Strong command of English and Kiswahili, with excellent written and verbal communication skills",,Unclear,"Our client is seeking to recruit a professional and vibrant Receptionist to oversee front office operations and provide high-level administrative support. The ideal candidate will ensure a seamless visitor experience, maintain the reception areaâ€™s professional standards, and support various departments with clerical tasks. This role requires a polished communicator who is detail-oriented, well-organized, and capable of managing multiple priorities with professionalism and discretion.",Human Resources
Estimation / Tender Engineer - Mechanical & Plumbing at Master Power Systems Ltd,Master Power Systems Ltd,"This is a full-time on-site role located in Nairobi County, Kenya, for an Estimation/Tender Engineer in Mechanical & Plumbing. The Estimation/Tender Engineer will be responsible for preparing detailed cost estimates, reviewing project specifications, and creating tender documents. Daily tasks include analyzing project requirements, utilizing computer-aided design (CAD) software, and collaborating with project teams to ensure accurate and competitive bids. Additionally, the role involves inspecting project sites, maintaining records, and providing technical support.
Qualifications
Mechanical Engineering.
Plumbing and HVAC knowledge.
Experience with Estimation and Budgeting of Mechanical and Plumbing items.
Strong analytical and problem-solving skills
Excellent written and verbal communication skills
Ability to work independently and as part of a team
Bachelor's degree or Diploma in Mechanical Engineering or related field
Experience in the MEP industry is a plus
Knowledge of Fire fighting items, plumbing items, HVAC items.
Minimum 5 years of experience.",Qualifications,Strong analytical and problem-solving skills,,Unclear,Experience with Estimation and Budgeting of Mechanical and Plumbing items.,Information Technology
Vacancies at Stratostaff,Stratostaff,"DUTIES AND RESPONSIBILITIES   
Financial Strategy and Planning
Develop and implement financial strategies aligned with the SACCOâ€™s overall goals.
Lead financial forecasting, planning, and analysis.
Advise the CEO and Board on financial implications of strategic decisions.
Budgeting and Financial Management
Prepare and manage the SACCOâ€™s annual budgets.
Monitor financial performance and control expenditures in line with budgetary constraints.
Identify and mitigate financial risks.
Financial Reporting and Compliance
Oversee preparation of accurate monthly, quarterly, and annual financial reports.
Ensure compliance with statutory requirements including SACCO regulations, tax laws, and reporting standards (IFRS/IAS).
Coordinate internal and external audits and respond to audit findings.
Treasury and Investment Management
Manage the SACCOâ€™s cash flow, banking relationships, and investment portfolio.
Ensure optimal liquidity and returns while safeguarding SACCO funds.
Leadership and Team Management
Lead and develop the finance team for high performance.
Foster a culture of accountability, integrity, and continuous improvement.
Regulatory and Stakeholder Engagement
Liaise with regulators (e.g., SASRA, Central Bank) and ensure timely compliance with all regulatory requirements.
Present financial updates and reports to the Board and other stakeholders.
Requirements
QUALIFICATIONS
Bachelorâ€™s degree in commerce, Business Administration, Finance, or a related field.
CPA (K) certification is mandatory.
A postgraduate degree (e.g., MBA or MSc in Finance) is an added advantage
EXPERIENCE
Minimum of 10 years of progressive experience in financial management, with at least 5 years spent in a senior leadership role.
Experience in a microfinance institution, bank, or other regulated financial institution is highly desirable.
Proven expertise in the implementation and optimization of ERP systems, with a strong understanding of financial modules and cross-functional integration.
In-depth knowledge of financial regulations, including IFRS standards, SASRA guidelines, and CBK reporting requirements.
Demonstrated expertise in financial planning, budgeting, risk management, and ensuring compliance with statutory and regulatory frameworks.
Strong analytical skills, with the ability to interpret complex financial data and present insights to senior management and the Board.
familiarity with digital financial solutions and emerging trends in fintech and the broader financial sector that can enhance operational efficiency, improve decision- making, and elevate the customer experience.
go to method of application Â»",QUALIFICATIONS,"Strong analytical skills, with the ability to interpret complex financial data and present insights to senior management and the Board.",,Unclear,EXPERIENCE,Other
Sales Manager at Summit Recruitment and Search,Summit Recruitment and Search,"Key Responsibilities:
Develop and execute sales strategies to increase the market share and expand the client base, focusing on high-potential markets.
Engage in daily sales activities, negotiating contracts and payment terms with clients in a fast-paced environment to drive timely closures and ensure customer satisfaction.
Oversee existing accounts, ensuring the delivery of high-quality service, technical support, and timely responses to customer inquiries.
Conduct regular market analyses to identify emerging trends, competitor activities, price fluctuations, supply-demand dynamics, and client needs, adapting strategies to maintain a competitive advantage.
Travel extensively across the continent to meet with clients and stakeholders, building and maintaining strong relationships while gaining on-the-ground insights into local market needs.
Prepare regular reports and track key performance metrics, evaluating both client and product performance to support data-driven decision-making.
Work closely with logistics, finance, marketing, and legal teams to ensure seamless operations. 
Qualifications:
 Bachelorâ€™s degree in Business Administration, International trade, Finance, Economics, Chemical Engineering, or a related field; MBA or advanced degree preferred.
Proven experience in international trading/sales, particularly in industrial chemicals.
Proficiency in English. Proficiency in French preferred.
In-depth knowledge of industrial chemicals, trading practices, and relevant regulatory frameworks.
Strong negotiation, communication, and relationship-building skills.
Analytical mindset with the ability to interpret market data, identify trends, and make strategic decisions.
Ability to excel in a fast-paced, dynamic, multinational environment and adapt to changing market conditions.
Willingness to travel up to 40% of the time to meet with clients and stakeholders across the continent/country.",,"Strong negotiation, communication, and relationship-building skills.",,Unclear,"Proven experience in international trading/sales, particularly in industrial chemicals.",Business
Inclusive Humanitarian Action Specialist - Sudan at Handicap International (HI),Handicap International (HI),"The position of Inclusive Humanitarian Action (IHA) Specialist, based in Nairobi and reporting to the Country Director, focuses on implementing the mandate and strategy of Humanity & Inclusion (HI) focuses on implementing HI's Inclusive Humanitarian Action technical Strategy in the Sudan's emergency response and contributes to:
Build capacities and resources on disability-inclusion and inclusive humanitarian action internally and externally
Strengthen disability evidence base and learnings
Sustainably anchor disability inclusion in humanitarian coordination landscape in particular in supporting the establishment of the Inclusion Task Force under the HCT Strategy
Empower Persons with disabilities and their representative organizations
The IHA Specialist will contribute to design and implement IHA related activities, which combines influencing and capacity building to clusters/WG and humanitarian actors on the operationalization of the IASC guideline on the Inclusion of Persons with Disabilities in Humanitarian Action.
The role involves coordinating, designing, and overseeing the implementation of inclusive humanitarian activities, with a specific focus on disability inclusion in humanitarian efforts. Key responsibilities include:
Expertise:
Contributing to the development and implementation of the IHA strategy.
Providing technical support and guidance on disability inclusion across projects.
Offering training on inclusive humanitarian action to staff and external stakeholders.
Ensuring technical learning from projects
Ensuring the quality and relevance of projects through regular monitoring and assessments.
Influence:
Representing HI in external forums such as the Inclusion Task Force (ITF).
Advocating for disability inclusion in humanitarian coordination and response efforts.
Contributing to influencing initiatives to promote inclusive approaches in humanitarian action.
Business Development:
Supporting the development of new project opportunities and proposals.
Building partnerships with local NGOs, institutions, and organizations representing people with disabilities.
Coordination and Reporting:
Ensuring effective reporting on HI activities, including donor reports and internal coordination.
Contributing to regular internal and external communication and reporting processes.
Facilitating coordination between technical sectors and other departments.
Overall, the IHA Specialist will input into the Mission strategy, support design, implementation and monitoring of HIâ€™s inclusive humanitarian action activities, provides technical support on disability-inclusion and inclusive humanitarian action within the team, humanitarian actors and coordination mechanisms. The IHA specialist will take an active role in supporting the establishment and roll-out of the Inclusion Task Force at coordination levelâ€
YOUR PROFILE:
5 years experience in International NGO in emergency contexts/protracted crisis
Experience of at least 2 years in a IHA coordination/manager position or similar
Experience in humanitarian action, disability-inclusion, human sciences, with proven experience on Inclusion, Gender and/or protection mainstreaming
Expertise on global frameworks on Disability-Inclusion, Human Rights-based approach to Disability and Inclusive Humanitarian Action (UN-CRPD, twin-track approach, IASC Guideline on DI)
Ability to train and build capacity.
Ability to conceptualize and formalize tools, methods and procedures.",,,,Unclear,5 years experience in International NGO in emergency contexts/protracted crisis,Social Sciences & Community
"Fresh Jobs at Aga Khan Education Service, Kenya (AKESK)","Aga Khan Education Service, Kenya (AKESK)","Role Summary:
The Cost Manager is responsible for overseeing all aspects of cost planning, estimation, control and reporting for the Aga Khan International School â€“ Wayaki Way project. Based in Nairobi and reporting to the Construction Director â€“ East Africa, the role ensures accurate budget management, value engineering and effective procurement strategies. The Cost Manager plays a critical role in managing construction costs throughout the project lifecycle, supporting risk mitigation, quality assurance and sustainability initiatives while ensuring value for money. The Cost Manager will spend 100% of the time for the project.
Key Responsibilities:
Manage the prequalification and tendering processes for project work packages.
Undertake cost analysis, value engineering and provide strategic input into the procurement process.
Manage the preparation and review of tender documentation, contracts and payment certificates.
Ensure accurate valuations of completed work and timely arrangement of payments.
Review and track all payment requests, certificates and final accounts.
Support the Construction Director in tender negotiations, risk mitigation and cost control.
Prepare and update monthly cost plans, forecasts and dashboards.
Contribute to the development and execution of permitting and procurement strategies.
Conduct site visits and assessments for progress tracking and projections.
Obtain prices from local and international contractors, suppliers and service providers.
Monitor and report on GHG emissions related to construction, supporting AKDNâ€™s net-zero goals.
Support the Construction Director in technical design reviews, contractor mobilization and site quality assurance plans.
Participate in snagging and defect liability tracking to ensure compliance with project specifications.
Coordinate with design teams and supervise contractor deliverables in line with AKESKâ€™s expectations.
Perform any other relevant tasks assigned by the line manager.
The requirements
Qualifications and Experience:
Bachelorâ€™s degree in Quantity Surveying or Construction Engineering.
Minimum of 5 years of experience in construction cost management.
Proven ability to manage costs from project inception to operation.
Strong understanding of contract documentation, specifications, and cost control systems.
Proficiency in AutoCAD, Revit, MS Project and cost management software.
Excellent English language, organizational, planning and interpersonal skills.
Ability to develop, maintain and report using cost control and record-keeping systems.
Skilled in risk identification, procurement negotiation and value engineering.
Ability to supervise external contractors and ensure adherence to EHS and QA standards.
Understanding of building materials, emergency procedures, and disaster recovery planning.
Strong communication skills, with the ability to coordinate diverse teams and stakeholders.
go to method of application Â»",Manage the prequalification and tendering processes for project work packages.,"Excellent English language, organizational, planning and interpersonal skills.",,Unclear,,Education
