Job Title,Company,Description,Minimum Qualification,Skills Required,Location,Work Type,Years of Experience,Department
Job Vacancies at Spinners and Spinners Ltd (S&S),Spinners and Spinners Ltd (S&S),"Are you self-driven, passionate, and have an attitude for growth?
Do you have a learning mindset? Are you curious and committed to excellence and agility?
This is a unique opportunity to be part of a creative, energetic, and culture-driven company.
go to method of application »",,,,Unclear,,Other
RPA Technical Specialist at Salt,Salt,"My client are looking for an experienced RPA Technical Specialist with strong technical and administrative expertise in Automation Anywhere (A360) to support and scale enterprise automation initiatives. This role will play a key part in designing, deploying, governing, and optimizing RPA solutions across the business, working closely with IT, security, and business stakeholders.
Technical Delivery
Design, develop, deploy, and maintain bots using the Automation Anywhere A360 platform
Create and document automation workflows, including High-Level and Low-Level Designs (HLD/LLD)
Manage and support Control Room architecture, including multi-environment setups and HA/DR configurations
Integrate RPA solutions with enterprise systems such as SAP, Oracle, Salesforce, and other applications
Support Intelligent Document Processing (IDP) and AI/ML integrations, including LLMs and RAG-based solutions
Apply secure coding practices and ensure compliance with data governance standards
Troubleshoot, optimize, and enhance bot performance and resource utilization
Platform Administration
Manage users, roles, and access within the Automation Anywhere Control Room
Monitor bot health, execution logs, and performance dashboards
Oversee bot scheduling, version control, and deployment pipelines
Handle support tickets, incident resolution, and SLA management
Maintain audit logs, compliance documentation, and operational standards
Coordinate with IT and cybersecurity teams on platform upgrades, patches, and access controls
Operational & Strategic Support
Assess automation opportunities and conduct feasibility analysis
Lead governance meetings, stakeholder reviews, and Quarterly Business Reviews (QBRs)
Support citizen developer initiatives and internal enablement programs
Track and report automation KPIs, ROI, and business impact
Collaborate with cross-functional teams to ensure automation aligns with broader digital and business strategies
Required Skills & Experience
Strong hands-on experience with Automation Anywhere A360
Proven experience in both RPA development and platform administration
Solid understanding of Control Room architecture and enterprise RPA environments
Experience integrating RPA with enterprise applications and databases
Knowledge of IDP, AI/ML, or intelligent automation concepts
Strong troubleshooting, documentation, and stakeholder management skills",,Required Skills & Experience,,Unclear,"My client are looking for an experienced RPA Technical Specialist with strong technical and administrative expertise in Automation Anywhere (A360) to support and scale enterprise automation initiatives. This role will play a key part in designing, deploying, governing, and optimizing RPA solutions across the business, working closely with IT, security, and business stakeholders.",Engineering
Regional Communications Advisor at CARE,CARE,"RESPONSIBILITIES:
Regional Media Relations
Generate and disseminate press releases/quotes/ statements for emerging and ongoing crises across the region. 
External Liaison and Communications Representative for the CARE US Marketing and Comms Function in their Respective Region. 
Manage and coordinate the flow of information, strategies, editorial planning, and expert/voice identification and mobilization between the CARE US and Regional Country Offices. 
US Media Engagement Support: Act as key coordinator in the region for incoming media requests from US/Global-based outlets. 
Support the establishment and maintenance of CARE US relationships with key US regional-based media. 
Regional Media Engagement: Develop and execute a region-wide plan aimed at elevating CARE’s Share of Voice among key regional media, including pan-regional broadcasts and alternate media platforms. 
Support COs on media engagement. 
Generate talking points for spokespersons’ media engagements, and ensure they are in line with advocacy asks and CARE’s core key message. 
Coordinate media requests, ensuring CARE’s visibility on national, regional, and global media. 
Work with CARE USA and CARE International on global media pitches and press releases. 
Monitor media in Country Offices we operate in for proactive/reactive media engagement
Crisis Communications
Support Global Crisis Management (Organizational/Humanitarian) Rapid Response. 
Act as part of the CARE US integrated crisis response process as key coordinator for Media Team with relevant Country Offices, including press management, and talking points. 
Working with the Regional Management Team to ensure the Crisis Management Strategy is current and in place, and be available for any communications as needed. 
Support Country Offices in the generation of reactive quotes in case of a crisis event.
Content Gathering and Story Telling
Work regularly with each Country Office in the ECSA region to understand their programmatic work, compelling stories, uniqueness, and context. 
Identify core activities that tell the story of CARE's work in each country. 
Serve as an interviewer, photographer, videographer, and writer when documenting CARE's work, including with CARE staff, community leaders, government officials, and program participants. 
Work with Country Office to provide locally sourced general interest story collections per country per year, complete with photos, videos, and narratives that Members and other CARE offices can use to form compelling stories to be used in fundraising, brand-building, and social media. 
Serve as an advisor/liaison between Lead Members and Country Office staff when organizing Member-led content trips and/or commissions. 
Review, edit photos and videos along CARE Guidelines and copy edit stories and reports from Country Offices.
Country Office Support
Capacity Building and Training: Support the development and execution of a unified approach to capability and society building among CARE Communication Focal points in the Region. 
Work with the COs to ensure good communications capacity and provide communications training, coaching, and mentoring as needed to CO focal points, and as needed to staff and management. 
Reviews any standard reporting and communications documents being used in each office and the Region to ensure compliance and standardization in each context. 
Be prepared and have a plan for each Country's Office to act quickly in the event of a humanitarian crisis. Know who to call upon in each CO to quickly secure the things that CARE will need to respond from a Communications and Fundraising standpoint, including spokespersons, images, video, and photo captioning. 
Serves as a point of contact and initial escalation point for questions about policy, procedure, and requirements for CARE communications for the focal points and in each office and the Region.
Required Qualifications:
At least 12 years of professional experience in communications or public relations for a nonprofit or media.
At least five years of working experience, knowledge, and a deep understanding of humanitarian emergencies in East Central and southern Africa, including but not limited to Sudan, Ethiopia, South Sudan, Somalia, DRC, Mozambique, and Madagascar.
Travel to at least one of the aforementioned countries in the last four years is an added advantage.
Degree in communications, digital media, journalism, or other directly related field. A master’s degree in the same field is an added advantage.
Good existing knowledge and connections with journalists, wire agencies, and media outlets in the region and also globally.",,,,Unclear,At least 12 years of professional experience in communications or public relations for a nonprofit or media.,Arts & Media
Community Engagement - Air Cavities Redesign Consultant at Habitat for Humanity International,Habitat for Humanity International,"Tasks & responsibilities
Collaborate with HFHI and SeaFreight Labs to develop and validate the community engagement plan
Lead the creation of prototypes, construction of demonstration walls and installation of prototypes on the walls
Co-lead the community engagement with HFHI and be responsible for community mobilization and ensuring integrity of data and completion within the agreed timeframe and following HFHI’s Data Privacy Policy
Analyze data and submit a detailed report outlining the methodology used, presenting the findings with their interpretations, and discussing the strengths, limitations, and implications of findings
Debrief with the project team to share the preliminary findings
Submit a final study report incorporating insights and feedback from the debrief sessions
Prepare PowerPoint presentations summarizing the study findings, lessons and recommendations
Duration
The community engagement will be conducted between December 2025 to February 2026. This represents calendar period and not consultancy days.
Experience and qualification
Experience conducting community engagements in Kenya, marketing research and other relevant fields
Min. 10 years demonstrated experience in qualitative and/or mixed methods research
Strong commitment and capacity to engage partners via participatory and consultative approach in strategy development
Extensive experience in data management and analysis, including data collection tools design and data quality checks
Understanding of Market Systems approaches and experience working with housing programs is an added advantage
Experience carrying out related evaluations on housing products is desirable
Demonstrable understanding and experience in Healthy Housing",Experience and qualification,,,Unclear,Experience and qualification,Information Technology
Vacancies at World Wide Fund for Nature (WWF) Kenya,World Wide Fund for Nature (WWF) Kenya,"As a results driven policy specialist, lead and coordinate the WWF network to achieve specific policy and advocacy ambitions, drive efforts to ensure effective policy implementation, conduct analysis and research on strategic policy issues, develop related and innovative policy solutions. Take responsibility for the positioning of the Wildlife Thematic Programme in the context of broader policy fora.  
MAJOR DUTIES AND RESPONSIBILITIES
Lead and facilitate WWF’s Wildlife policy agenda with focus on strategic thought leadership, advocacy, capacity building, planning and implementation.
Lead and coordinate WWF’s engagement at key Multilateral Environmental Agreements, with a particular focus on CITES, CMS, IWC[1], and other fora, as deemedstrategic.  Coordinate with other units to achieve wildlife policy outcomes at additional fora, including CBD[2].  Explore and accelerate opportunities for impact in regional policy fora, working closely with WWF regional policy specialists. 
Develop and implement a targeted roadmap to support offices with the implementation of global and regional policies, relevant to the delivery on the ground and in the water of the Thriving Biodiversity objective and the wildlife strategy.
Promote regular interaction with policy leads in other Thematic Programmes and Practices to drive cross-practice policy coherence and deliver greater impact through integration.
Facilitate the development of network policy positions and advocacy strategies related to the achievement of the Wildlife Thematic Programme’s objectives.
Lead WWF’s external engagement at key policy intervention points, including relevant events and meetings.
Coordinate the professional, coherent and effective network engagement of diverse WWF teams at appropriate policy dialogues relevant to Wildlife content
Identify policy levers and enabling conditions which need to be addressed to achieve the wildlife elements of the Thriving Biodiversity objective of Roadmap 2030, in alignment with the Biodiversity Practice Playbook and in coordination with other Roadmap objectives, in particular ‘Elevating Nature’.
Advocate with decision-makers on critical conservation issues relevant to Wildlife Thematic Programme content.
Support capacity building of colleagues in the WWF network to develop skills and experience related to effective achievement of the Wildlife Thematic Programme’s policy objectives.
Provide a research and radar capacity on external policy developments relevant to the Wildlife Thematic Programme content.
PROFILE
Required Qualifications;
Ideally at least 7 years professional policy experience in conservation, environment and/or development.
Experience with CITES strongly preferred.  Experience with CMS, IWC and/or CBD also of value.
Strong track record of delivering policy impact
In-depth understanding of global and regional environmental, natural resource and geopolitical governance
Experience working in complex organisations.
go to method of application »",Required Qualifications;,Support capacity building of colleagues in the WWF network to develop skills and experience related to effective achievement of the Wildlife Thematic Programme’s policy objectives.,,Unclear,Support capacity building of colleagues in the WWF network to develop skills and experience related to effective achievement of the Wildlife Thematic Programme’s policy objectives.,Other
Data Analyst (National) at Church World Service,Church World Service,"Responsibilities
Data Management and Program Administration (45%)
Prepares routine and ad hoc CWS RSC Africa statistical reports as needed for various CWS RSC Africa staff and implementing partners e.g. US Embassy Refugee Coordinator, UNHCR, IOM and the Resettlement Agencies.
Works with the START and Case Quality team to prepare and automate regular sectional quality control reports to ensure data accuracy and identify training needs.
Prepare reports designed to track CWS RSC Africa operations’ productivity for an overall improvement in efficiency.
Works closely that reports run in the most current software environment and in publishing QC reports in a user-friendly. 
Compliance (30%)
Updates automated and ad hoc reports in line with START database schema changes and/or Policy and Program changes.
Maintains a current understanding and keeps abreast of any updates of START or RSC Africa Standard Operating Procedures.
In coordination with the START and Case Quality team performs quality checks of cases to ensure that cases are up to RSC and RPC standards and adhere to processing guidelines.
Works closely with Programs staff to ensure that they have adequate reporting tools available to them to enable their departments to meet RSC quality standards and adhere to USRAP processing guidelines.
Representation/Engagement (20%)
Works closely with RPC staff on issues related to START data fixes and deployed new releases.
Works with other programs teams when to assist with their reporting needs, as needed.
Serves as the contact person for all inquiries directed to the team while the Data Analytics & Visualization Supervisor is on leave.
Actively works on and resolves all work order tickets raised by Programs staff.
Additional Responsibilities (5%)
Performs any other duties assigned to improve the operations of CWS Africa.
Qualifications
Experience:
A minimum of 5 years’ paid work experience required
Good understanding (2+ years required) of databases and Tableau (or other business intelligence tools like Power BI)
Experience using Microsoft Visual Studio 2016 in the context of SQL Server Reporting Services required.",Qualifications,,,Unclear,,Information Technology
Current Openings at FedEx,FedEx,"Description
Clearance & Brokerage Operations; Brokerage Admin Services; Clearance Customer Service; Cage Handling; Export Controls; Customer Services; Clearance Regulatory; Clearance Admin Inbound/ Outbound; Clearance Admin; Customer Service
Responsible for the completion of defined processes and procedures to deadline, ensuring accuracy, completeness, and compliance with relevant internal and external standards. Identifies anomalies as they arise and uses judgement based on rules and procedures to resolve. For complex issues, may escalate to senior team members.
Accuracy & Attention to Detail;Microsoft Office & PC Skills;Planning & Organizing Skills;Numerical Skills;Written & Verbal Communication Skills
FedEx was built on a philosophy that puts people first, one we take seriously. We are an equal opportunity/affirmative action employer and we are committed to a diverse, equitable, and inclusive workforce in which we enforce fair treatment, and provide growth opportunities for everyone.
All qualified applicants will receive consideration for employment regardless of age, race, color, national origin, genetics, religion, gender, marital status, pregnancy (including childbirth or a related medical condition), physical or mental disability, or any other characteristic protected by applicable laws, regulations, and ordinances.
go to method of application »",,Accuracy & Attention to Detail;Microsoft Office & PC Skills;Planning & Organizing Skills;Numerical Skills;Written & Verbal Communication Skills,,Unclear,,Other
Relationship Manager at Standard Chartered Bank Kenya,Standard Chartered Bank Kenya,"Key Responsibilities
Provide outstanding client experiences. 
Organised, follow-up leads, complete and record appointments, close customer requests
Support our clients to meet their financial needs, as they progress through their career and life-stages. 
Build relationships for the long-term and understand clients financial needs and aspirations to grow, manage and protect their wealth, with appropriate investment solutions. 
Keep abreast of market trends, new product offerings and the latest campaigns.
Skills and Experience
Banking knowledge and sales experience.
Excellent communication, interpersonal and relationship building skills.
Ability to learn new products and services quickly. 
Knowledge and experience in providing wealth solutions.
Outstanding relationship management skills for affluent clients.
Good understanding of wealth products.
Market awareness and  commercial acumen.
Thrives in an international environment.
Maintains a high standard of personal conduct and lives our valued behaviours.",,Skills and Experience,,Unclear,Provide outstanding client experiences.,Business
Vacancies at Remote,Remote,"What you bring
General knowledge of payroll practices and processes, with an understanding of country-specific regulations and terminology.
Experience in handling high volume payroll queries, especially in relation to payroll tools, systems, or platforms.
A strong focus on customer service excellence, with the ability to provide empathetic, accurate, and timely responses to internal stakeholders.
Solid investigative skills to identify root causes of payroll-related issues and ensure accurate resolution or escalation.
Clear and professional communication skills, both written and verbal, with the ability to explain complex information in a simple, user-friendly way.
A proactive and collaborative mindset, comfortable working in a fast-paced, cross-functional environment.
Writes and speaks fluent English.
It's not required to have experience working remotely, but considered a plus.
Key Responsibilities
Triage incoming support tickets, ensuring accurate routing, prioritization, and timely acknowledgment in alignment with service level agreements (SLAs).
Handle payroll inquiries, providing clear, accurate, and prompt support on a range of topics including payslips, deductions, and tax documentation.
Manage live messaging channels to support employees in real time, escalating issues when necessary.
Maintain detailed and organized ticket documentation, ensuring all interactions and resolutions are logged accurately.
Collaborate with Payroll Specialists and Operations teams to ensure smooth handover and resolution of complex issues.
Identify recurring issues or trends and flag them for review to support continuous improvement in payroll processes and support workflows.
Assist in maintaining internal knowledge base articles and FAQs to promote self-service and reduce repeat inquiries.
go to method of application »",,Solid investigative skills to identify root causes of payroll-related issues and ensure accurate resolution or escalation.,,Unclear,"Experience in handling high volume payroll queries, especially in relation to payroll tools, systems, or platforms.",Other
Jobs at United Nations Office for Project Services (UNOPS),United Nations Office for Project Services (UNOPS),"Functions / Key Results Expected
Project Delivery and Performance
Support in the planning, implementation and monitoring of project activities in line with approved work plans, budgets and quality standards.
Coordinate day-to-day project operations to ensure timely delivery of outputs and adherence to UNOPS and donor/partner requirements.
Manage and monitor progress against scope, time, cost and quality tolerances. Identify risks and deviations, propose corrective actions, and escalate when required.
Oversee project contracts and supplier performance to ensure compliance and value for money.
Embed sustainability principles - including gender equality, social inclusion and environmental considerations - across project activities.
Contribute to the identification and development of new project opportunities or extensions of existing engagements.
Financial and Procurement Management
Support financial planning, monitoring and reporting to ensure effective budget utilization and cost control in line with UNOPS Financial Rules and Regulations.
Manage cash flow, expenditures and financial commitments, ensuring timely disbursements and accurate financial reporting.
Support procurement and grant management processes, including preparation of Terms of Reference (ToRs), evaluation of bids, and contract administration.
Coordinate with finance and procurement teams to ensure compliance, transparency, and proper documentation of transactions.
Prepare and review financial reports and participate in project audits, ensuring implementation of recommendations.
Stakeholder Engagement and Coordination
Maintain effective working relationships with donors, partners, national authorities and other stakeholders to ensure coordinated delivery and alignment with project objectives.
Support the development and implementation of stakeholder engagement and communication plans, ensuring timely and consistent information sharing.
Facilitate internal coordination among project teams, technical experts and support functions.
Represent the project in meetings, consultations and external engagements as delegated by the supervisor.
Monitoring, Reporting and Quality Assurance
Monitor project performance against agreed indicators, preparing progress, financial and completion reports in accordance with UNOPS and donor/partner standards.
Conduct data analysis and provide inputs for management decisions and strategic planning.
Ensure quality assurance processes are applied to all deliverables, documents and outputs.
Support compliance with internal audit and quality standards, coordinating corrective action as required.
Personnel Management (as applicable)
Assist in supervising, guiding and motivating project team members to achieve high performance and accountability.
Contribute to recruitment, onboarding and performance management of personnel, ensuring gender balance and diversity principles are upheld.
Promote a respectful, inclusive and safe working environment that aligns with UNOPS’ zero-tolerance policy for misconduct, discrimination and harassment.
Ensure compliance with United Nations Department of Safety and Security (UNDSS) safety and security standards for all project staff and operations.
Knowledge Building and Sharing
Support the organization, facilitation and delivery of training and learning sessions on project management.
Participate in knowledge-sharing initiatives and Communities of Practice (CoPs), contributing insights and lessons learned.
Conduct research on project management-related topics and contribute to the drafting of reports, summaries and briefing notes.
Skills
Data Analysis, Project Implementation, Reporting, Stakeholder Management
Competencies
Develops and implements sustainable business strategies, thinks long term and externally in order to positively shape the organisation. Anticipates and perceives the impact and implications of future decisions and activities on other parts of the organisation.
Treats all individuals with respect; responds sensitively to differences and encourages others to do the same. Upholds organisational and ethical norms. Maintains high standards of trustworthiness. Role model for diversity and inclusion.
Acts as a positive role model contributing to the team spirit. Collaborates and supports the development of others. For people managers only: Acts as positive leadership role model, motivates, directs and inspires others to succeed, utilizing appropriate leadership styles.
Demonstrates understanding of the impact of own role on all partners and always puts the end beneficiary first. Builds and maintains strong external relationships and is a competent partner for others (if relevant to the role).
Efficiently establishes an appropriate course of action for self and/or others to accomplish a goal. Actions lead to total task accomplishment through concern for quality in all areas. Sees opportunities and takes the initiative to act on them. Understands that responsible use of resources maximizes our impact on our beneficiaries.
Open to change and flexible in a fast paced environment. Effectively adapts own approach to suit changing circumstances or requirements. Reflects on experiences and modifies own behavior. Performance is consistent, even under pressure. Always pursues continuous improvements.
Evaluates data and courses of action to reach logical, pragmatic decisions. Takes an unbiased, rational approach with calculated risks. Applies innovation and creativity to problem-solving.
Expresses ideas or facts in a clear, concise and open manner. Communication indicates a consideration for the feelings and needs of others. Actively listens and proactively shares knowledge. Handles conflict effectively, by overcoming differences of opinion and finding common ground.
Education Requirements
Required
Bachelor’s degree (or equivalent) in any discipline with 7 years of relevant experience OR Master’s degree (or equivalent) in any discipline with 5 years of relevant experience is required.
Desired
A globally recognized professional certificate or membership in Project Management is desired.
go to method of application »",,Skills,,Unclear,"Open to change and flexible in a fast paced environment. Effectively adapts own approach to suit changing circumstances or requirements. Reflects on experiences and modifies own behavior. Performance is consistent, even under pressure. Always pursues continuous improvements.",Education
"Deputy Director, Registration and Data Management at Public Benefit Organizations Regulatory Authority",Public Benefit Organizations Regulatory Authority,"Job Purpose
The Deputy Director is responsible for coordinating registration of PBOs and effective management of PBOs data.
Job Description
Overseeing the registration of public benefit organizations in accordance with the PBO Act.
Overseeing the design, maintenance and updating of a register of public benefit organizations.
Promoting the development of self-regulations among PBOs and foster the recognition of Forums and the Federation.
Establishing an administrative and regulatory framework within which public benefit organizations can conduct their affairs.
Issuing certificates of registration to PBOs.
Advising the Government on the activities of public benefit organizations and their role in development within Kenya.
Creating an environment within which the public may have access to information concerning registered public benefit organizations.
Facilitating information sharing and networking between public benefit organizations and the Government.
Person Specifications
Minimum of fifteen (15) years cumulative work, eight (8) years in management.
Bachelor’s degree from a recognized institution.
Master’s degree from a recognized institution.
Professional qualification and membership to a relevant professional body and in good standing, where applicable.
Certificate in Leadership Course lasting not less than four (4) weeks from a recognized institution.
Proficiency in computer applications.
Demonstrated managerial, administrative and professional competence in work performance and results.
Exhibited a thorough understanding of national goals, policies and objectives.","Professional qualification and membership to a relevant professional body and in good standing, where applicable.",,,Unclear,,Information Technology
Teaching Vacancies at Kakenya’s Dream,Kakenya’s Dream,"Qualifications
Bachelor of Education degree or Diploma in Secondary Education from a recognized institution with two teaching subjects;
Must be registered with Teachers Service Commission (TSC) and in possession of a valid Teaching Certificate.
go to method of application »",Qualifications,,,Unclear,,Education
Business Intelligence Analyst Consultant (Agriculture Markets) at Busara Center,Busara Center,"We are seeking a Business Intelligence Analyst consultant who will play a crucial role in guiding product and software development decisions by providing actionable insights into Kenya’s and East Africa’s agriculture markets for the Embe project. The consultant should be a results-driven individual who possesses deep market analysis expertise, strong quantitative skills, and a well-established professional network within the local agriculture ecosystem. The ideal consultant will leverage prior experience supporting software product teams in agriculture to enhance our offerings.
Key Accountabilities and Project Deliverables:
The Business Intelligence Analyst consultant will collaborate closely with the Embe project team, Busara research team and engage with developers to perform a variety of tasks, including but not limited to:
Conduct in-depth market analysis to identify trends, gaps, and opportunities in the agriculture sector, with a focus on digital transformation and product innovation.
Maintain and leverage an extensive network with key stakeholders, agribusinesses, farmer organizations, and relevant government or development partners.
Gather, analyze, and present data on user and market needs to inform product requirements, roadmap, and strategic decisions.
Collaborate with product managers, researchers, engineers, and designers to translate business intelligence into effective technology solutions for the agriculture sector
Identify risks and recommend strategies for market entry, growth, and competitive differentiation.
Track competitors, new entrants, and external factors that impact the agriculture ecosystem and digital product uptake.
Develop regular reports and actionable dashboards for the leadership team and product stakeholders.
Contribute to the design, execution, and dissemination of the Embe project
Participate in field work for assigned projects as may be required.
Required Competence & Expertise
Bachelor’s degree in Business, Marketing, Statistics, Agricultural Economics, Agribusiness, or related field.
At least 5 years’ experience in market analysis, business intelligence, or research, with a strong focus on the agriculture sector in Kenya.
Demonstrated experience supporting technology or software product development teams.
Established professional network in the regional agriculture space (e.g., with cooperatives, value chain actors, government bodies, NGOs).Excellent communication, data visualization, and presentation skills.
Strong knowledge of data analysis tools (Excel, SQL, BI platforms, R, Python).",,"We are seeking a Business Intelligence Analyst consultant who will play a crucial role in guiding product and software development decisions by providing actionable insights into Kenya’s and East Africa’s agriculture markets for the Embe project. The consultant should be a results-driven individual who possesses deep market analysis expertise, strong quantitative skills, and a well-established professional network within the local agriculture ecosystem. The ideal consultant will leverage prior experience supporting software product teams in agriculture to enhance our offerings.",,Unclear,"We are seeking a Business Intelligence Analyst consultant who will play a crucial role in guiding product and software development decisions by providing actionable insights into Kenya’s and East Africa’s agriculture markets for the Embe project. The consultant should be a results-driven individual who possesses deep market analysis expertise, strong quantitative skills, and a well-established professional network within the local agriculture ecosystem. The ideal consultant will leverage prior experience supporting software product teams in agriculture to enhance our offerings.",Information Technology
Vacancies at Absa Bank Limited,Absa Bank Limited,"Job Description
Who are we looking for?
You’ve graduated within the last 2 years, or you are expected to graduate on or before 31st December 2025 and your professional life is about to begin. You want to work in a dynamic environment that will give you exposure to a network of professionals who will help guide and enable your career progression. You want to be part of a structured development program that will connect you to graduates from across the continent giving you the skills to be self-empowered and cross-culturally competent.
What is required of you?
You must have graduated with a bachelor’s degree in the following fields within the last two years & with a 2nd class upper and above; IT, Computer Science, Actuarial Science, Finance, Law, Economics and Statistics, Business-related courses. You can still qualify for consideration if you are set to graduate on or before 31st December 2025.
Relevant certifications in these fields will be a significant advantage.
You must have had a mean grade of A- and above in your KCSE or equivalent
You must have attained a grade of B+ and above in English and Mathematics
Please attach copies of your degree and KCSE results slip
You must be below 26 years of age
You are required to complete the Absa ReadytoWork program using the link below: https://readytowork.absa.africa/
The opportunity will provide you with:
Development in leadership and self-management skills.
Development in customer/client centricity and related behavioral skills.
Development in technical job-related skills.
Access to a Pan-Africa network of connected, professional and highly innovative thinkers.
Exposure to our local and global market
Firsthand coaching from people managers, business leaders and peer coaching from the previous cohorts to guide you and enable your career progression throughout the program
Involvement in Action Learning Projects that address real business challenges
Desired competencies and extracurricular experiences
Initiative and drive beyond academia
Commercial/business sense
Complex problem solving and ideation
Critical thinking and analysis
Technology savvy
Proactivity and self-motivation
go to method of application »",,"You’ve graduated within the last 2 years, or you are expected to graduate on or before 31st December 2025 and your professional life is about to begin. You want to work in a dynamic environment that will give you exposure to a network of professionals who will help guide and enable your career progression. You want to be part of a structured development program that will connect you to graduates from across the continent giving you the skills to be self-empowered and cross-culturally competent.",,Unclear,Desired competencies and extracurricular experiences,Other
Digital Marketer Intern at NHC Maisha,NHC Maisha(Ndonyo Healthcare),"Duties and Responsibilities include but are not limited to:
Assist in maintaining and updating the hospital’s website and online profiles
Collaborate with clinical and non-clinical departments to promote services and awareness campaigns
Develop and execute digital marketing strategies aimed at increasing brand awareness, online engagement, and conversion to hospital visits.
Manage and update website content, ensuring accuracy, SEO compliance, and user-friendly navigation.
Create, design, and publish high-quality digital content, including graphics, videos, and written posts, that align with the hospital’s branding and communication objectives.
Analyze and monitor digital performance metrics to measure the success of campaigns and identify opportunities for improvement.
Respond promptly and professionally to online inquiries and concerns, ensuring excellent digital customer service.
Collaborate with internal departments to promote hospital services, events, and health awareness campaigns through digital channels.
Stay informed about emerging digital marketing trends and tools to continuously enhance Scion Hospital’s online presence.
Assist in managing the Hospital’s social media platforms (Facebook, X, Instagram, etc.)
Any other duty as maybe assigned from time to time by the supervisor 
Qualifications and Experience
Diploma/Degree in Digital Marketing, Marketing, Communications, or a related field.
Minimum of 6 months experience in a similar digital marketing role.
Experience in a hospital or healthcare environment will be an added advantage.
Proficiency in social media management, Google Analytics, SEO/SEM, content design, and digital advertising.
Excellent written and verbal communication skills.
Strong creative, analytical, and problem-solving abilities.
Ability to work independently and deliver high-quality results within set timelines.",Qualifications and Experience,Excellent written and verbal communication skills.,,Unclear,Qualifications and Experience,Information Technology
Operations Manager- Onsite at TakaTaka Solutions Limited,TakaTaka Solutions,"Role Purpose
The  Operations Manager- Onsite will provide strategic leadership and operational oversight of TakaTaka Solutions’ onsite operations. The role is responsible for ensuring exceptional service delivery, strong client relationships, operational efficiency, and continuous improvement across all onsite locations. This position plays a critical role in positioning TakaTaka Solutions as a market leader in service excellence and sustainable waste management.
Key Responsibilities
Serve as the primary point of contact for onsite clients, ensuring high satisfaction and SLA compliance.
Lead regular client engagements, service reviews, and manage onsite sales relationships.
Oversee daily on-site sorting and collection operations across all client locations.
Coordinate with internal departments to ensure seamless service delivery.
Lead, coach, and manage on-site teams across multiple sites.
Ensure compliance with health, safety, and operational standards.
Drive accurate data collection, reporting, and operational controls.
Develop and manage the onsite operations budget, ensuring cost efficiency and revenue growth.
Qualifications & Experience
Bachelor’s Degree in Business Studies, Public Relations, Social Sciences, Environmental Studies, or a related field.
Minimum of 5 years’ experience in customer service or operations management, with at least 3 years in a leadership role.
Proven experience managing large, multi-site teams.
Strong experience in client management, contracts, and SLAs.
Proficiency in CRM systems, reporting tools, and MS Office (advanced Excel skills preferred).
Key Skills & Competencies
Strong leadership and interpersonal skills
Excellent stakeholder engagement and negotiation abilities
Strong data analysis and reporting skills
Commercial awareness and sales orientation
Hands-on, results-driven mindset
High integrity, assertiveness, and structured communication",Qualifications & Experience,"Proficiency in CRM systems, reporting tools, and MS Office (advanced Excel skills preferred).","The  Operations Manager- Onsite will provide strategic leadership and operational oversight of TakaTaka Solutions’ onsite operations. The role is responsible for ensuring exceptional service delivery, strong client relationships, operational efficiency, and continuous improvement across all onsite locations. This position plays a critical role in positioning TakaTaka Solutions as a market leader in service excellence and sustainable waste management.",Onsite,Qualifications & Experience,Business
Client Onboarding Senior Analyst at Citi,Citi,"What You’ll Do:
Own the client onboarding process from start to finish, including documentation review, account setup, and ongoing maintenance.
Provide outstanding customer service and resolve client inquiries with expertise and efficiency.
Support, understand and implement client requirements. Monitor customer satisfaction and service level and drive process changes, provide innovative solutions to clients.
Manage daily account opening, ensuring accuracy and adherence to regulatory requirements.
Lead projects within the account services space, collaborating effectively with cross-functional teams.
Develop and implement new work procedures and analyze complex issues to optimize efficiency and mitigate risk, reduce performance matrices to track defects and productivity.
Promote a strong risk management culture and ensure regulatory compliance
Mentor and train junior team members
What We're Looking For:
Minimum 5 Years of experience in client facing roles in financial institute, such as Customer Service, Client Onboarding, Custody,  Treasury and Trade related position, Client Documentation Review, Account Maintenance,  Customer Due Diligence, AML, KYC.
Advanced level of English (written and spoken) as you will have a direct contact with our clients
Advanced level of French is preferred but not a must
Bachelor’s/University degree
Excellent interpersonal, communication skills as you will directly interact with large institutional clients and regulators
Good time and project management skills as we are dealing with multiple clients
Strong analytical and problem-solving skills, with a keen eye for detail
Demonstrated commitment to risk management and regulatory compliance.
What we can offer you:
By joining Citi, you will not only be part of a business casual workplace with a hybrid working model (up to 2 days working at home per week), but also receive a competitive base salary (which is annually reviewed) and enjoy a whole host of additional benefits such as:
Medical Insurance
Life Insurance Program
Pension Plan contribution (PPE Program)
Employee Assistance Program
Paid Parental Leave Program (maternity and paternity leave) 
Holidays Allowance
Sport and team recreation activities
Access to an array of learning and development resources 
Regular working hours  (8-4h, 9-5h) with home office opportunities (2 times per week)",,"Excellent interpersonal, communication skills as you will directly interact with large institutional clients and regulators",,Unclear,"Minimum 5 Years of experience in client facing roles in financial institute, such as Customer Service, Client Onboarding, Custody,  Treasury and Trade related position, Client Documentation Review, Account Maintenance,  Customer Due Diligence, AML, KYC.",Information Technology
